"InterventionId","TutorId","QuestionId_DQ","MessageSequence","IsTutor","MessageString","TalkMovePrediction"
10,749,104614,1,1,"Hello Lina, just wanted to check, you OK?","<None>"
10,749,104614,2,1,"You don't have to have help if you don't want it but I am here if you need anything. ","<None>"
10,-1,104614,3,0,"Hi I would you preferred to be called Lina Chen","<NA>"
10,-1,104614,4,0,"I need help","<NA>"
10,-1,104614,5,0,"On this question I am a bit stuck at this can you help me please","<NA>"
10,-1,104614,6,0,"Thx u","<NA>"
10,749,104614,7,1,"Of course, thank you for correcting me on your name, give me a moment to have a look. ","<None>"
10,-1,104614,8,0,"Ok thank you take your time","<NA>"
10,749,104614,9,1,"Do you have any thoughts about what either Alex or Sophie said?","<Getting Student to Relate>"
10,749,104614,10,1,"Do you think either of them is right or wrong?","<Getting Student to Relate>"
10,-1,104614,11,0,"I think both are wrong","<NA>"
10,-1,104614,12,0,"Is that right ???","<NA>"
10,749,104614,13,1,"OK. So if Alex is wrong, what do you think would be the right answer for his question?","<Getting Student to Relate>"
10,-1,104614,14,0,"Both are wrong","<NA>"
10,-1,104614,15,0,"Or Sophie is correct","<NA>"
10,749,104614,16,1,"what do you think 5.4598 rounds to to 1dp?","<Press for Accuracy>"
10,-1,104614,17,0,"5.45","<NA>"
10,-1,104614,18,0,"Maybe or not sure","<NA>"
10,749,104614,19,1,"That's two decimal places, not one. ","<None>"
10,-1,104614,20,0,"5.4510","<NA>"
10,-1,104614,21,0,"Can you give me a clue","<NA>"
10,-1,104614,22,0,"Please","<NA>"
10,749,104614,23,1,"An answer to 1 decimal place should have only one digit after the decimal point. ","<None>"
10,-1,104614,24,0,"What do you mean by that","<NA>"
10,749,104614,25,1,"Have you worked on rounding before?","<Keep Together>"
10,-1,104614,26,0,"Yes","<NA>"
10,749,104614,27,1,"Can you round 5.45 to one decimal place?","<Press for Accuracy>"
10,-1,104614,28,0,"54.5","<NA>"
10,749,104614,29,1,"No, the answer would be 5.5","<Revoicing>"
10,-1,104614,30,0,"Oh I get it the now","<NA>"
10,749,104614,31,1,"I think maybe you multiplied by ten, is that right?","<Keep Together>"
10,-1,104614,32,0,"How does this work","<NA>"
10,-1,104614,33,0,"Because like 5.45 to one decimal should be the same no changes","<NA>"
10,749,104614,34,1,"To 1 decimal place, it's 5.5","<None>"
10,-1,104614,35,0,"Ok","<NA>"
10,-1,104614,36,0,"thank you so much","<NA>"
10,-1,104614,37,0,"Take care","<NA>"
10,-1,104614,38,0,"Enjoy the rest of your day","<NA>"
10,-1,104614,39,0,"So nice to speak to you","<NA>"
10,749,104614,40,1,"You're welcome. would you like to talk about Sophie's answer too or would you like me to hand you back to the lesson?","<Keep Together>"
10,-1,104614,41,0,"Hand me back to lesson thanks","<NA>"
14,67,129129,1,1,"Hi Nathaniel, How are you today?","<None>"
14,-1,129129,2,0,"im good, im not sure how to solve this","<NA>"
14,67,129129,3,1,"good :) OK, let's have a look","<None>"
14,67,129129,4,1,"What do you think this question is asking?","<Press for Accuracy>"
14,-1,129129,5,0,"the value of 54+58/2","<NA>"
14,67,129129,6,1,"super! what do you think we should do first?","<Press for Accuracy>"
14,-1,129129,7,0,"i think add 54 and 58?","<NA>"
14,67,129129,8,1,"Yes, I agree! what answer does that give?","<Press for Accuracy>"
14,-1,129129,9,0,"i think 114?","<NA>"
14,67,129129,10,1,"not quite","<None>"
14,-1,129129,11,0,"112","<NA>"
14,67,129129,12,1,"Let's simplify... 54 = 50+4 and 58 = 50+8","<None>"
14,67,129129,13,1,"🎉🎉","<None>"
14,67,129129,14,1,"Great!!","<None>"
14,67,129129,15,1,"Now, what is the final part of the question?","<Press for Accuracy>"
14,-1,129129,16,0,"we do something with the 2 and 112?","<NA>"
14,67,129129,17,1,"so we have 112/2 ","<Revoicing>"
14,67,129129,18,1,"what does that line mean?","<Press for Accuracy>"
14,-1,129129,19,0,"halve?","<NA>"
14,67,129129,20,1,"well, the line with the 2 below it is a way of saying half","<None>"
14,67,129129,21,1,"but the line in the fraction, is another way of saying divide in Maths","<None>"
14,-1,129129,22,0,"so we divide 112 by 2?","<NA>"
14,67,129129,23,1,"That's it Nathaniel!! Well done!🎉😊","<None>"
14,67,129129,24,1,"What answer will you get?","<Press for Accuracy>"
14,-1,129129,25,0,"56","<NA>"
14,67,129129,26,1,"Super work Nathaniel! How do you feel about this now you've worked through it?","<Keep Together>"
14,-1,129129,27,0,"very good","<NA>"
14,67,129129,28,1,"👏🎉😊 well done, you've been super today! ","<None>"
14,-1,129129,29,0,"thanks for the help","<NA>"
14,67,129129,30,1,"Are you ready to go back and submit your answer?","<Keep Together>"
14,-1,129129,31,0,"yup","<NA>"
14,67,129129,32,1,"No problem!😊","<None>"
23,-1,147113,1,0,"is it c","<NA>"
23,102,147113,2,1,"Hi, another wordy one! One sec while I read it through.","<None>"
23,-1,147113,3,0,"kkkkkkkkk","<NA>"
23,102,147113,4,1,"Ok think about an example... What's the lowest common multiply of 3 and 5?","<Press for Accuracy>"
23,102,147113,5,1,"*multiple","<None>"
23,-1,147113,6,0,"15","<NA>"
23,102,147113,7,1,"Yep, do we get that by multiplying them together?","<Keep Together>"
23,-1,147113,8,0,"45","<NA>"
23,102,147113,9,1,"I mean multiplying 3 and 5 together gives us the lowest common multiple, 15","<None>"
23,-1,147113,10,0,"oh so am i rigt or not","<NA>"
23,102,147113,11,1,"For the question, we're trying to decide if multiplying numbers together gives us their lowest common multiple","<None>"
